time,yaw,pitch,roll,acc x,acc y,acc z
2019-06-26 15:34:48.499739,167.73,-78.82,-7.28,-4130,399,-1019
2019-06-26 15:34:48.516744,167.60,-78.80,-7.32,-4135,399,-1016
2019-06-26 15:34:48.537747,167.45,-78.79,-7.36,-4129,401,-1026
2019-06-26 15:34:48.557752,167.29,-78.77,-7.39,-4121,397,-1027
2019-06-26 15:34:48.577756,167.15,-78.76,-7.43,-4126,401,-1009
2019-06-26 15:34:48.598779,166.98,-78.76,-7.47,-4133,405,-1002
2019-06-26 15:34:48.618765,166.85,-78.75,-7.50,-4125,406,-1010
2019-06-26 15:34:48.639770,166.69,-78.74,-7.54,-4124,410,-1022
2019-06-26 15:34:48.659775,166.54,-78.72,-7.57,-4130,410,-1039
2019-06-26 15:34:48.679780,166.41,-78.71,-7.60,-4132,417,-1038
2019-06-26 15:34:48.696783,166.20,-78.71,-7.64,-4133,425,-1028
2019-06-26 15:34:48.717788,166.07,-78.69,-7.67,-4134,421,-1045
2019-06-26 15:34:48.737792,165.91,-78.68,-7.70,-4126,427,-1045
2019-06-26 15:34:48.758797,165.80,-78.66,-7.73,-4132,430,-1047
2019-06-26 15:34:48.778802,165.67,-78.65,-7.76,-4128,435,-1050
2019-06-26 15:34:48.798806,165.51,-78.64,-7.80,-4120,434,-1045
2019-06-26 15:34:48.819811,165.35,-78.63,-7.83,-4122,431,-1060
2019-06-26 15:34:48.839815,165.22,-78.62,-7.86,-4132,431,-1053
2019-06-26 15:34:48.856819,165.06,-78.61,-7.88,-4130,435,-1048
2019-06-26 15:34:48.877826,164.93,-78.60,-7.91,-4129,441,-1053
2019-06-26 15:34:48.897828,164.78,-78.58,-7.94,-4131,440,-1077
2019-06-26 15:34:48.917833,164.68,-78.57,-7.97,-4128,443,-1077
2019-06-26 15:34:48.938838,164.54,-78.56,-7.99,-4141,446,-1060
2019-06-26 15:34:48.958842,164.41,-78.55,-8.02,-4135,435,-1056
2019-06-26 15:34:48.979865,164.24,-78.54,-8.05,-4127,439,-1044
2019-06-26 15:34:48.999851,164.11,-78.53,-8.08,-4128,443,-1052
2019-06-26 15:34:49.019874,163.95,-78.52,-8.11,-4134,451,-1044
2019-06-26 15:34:49.036877,163.82,-78.51,-8.13,-4129,459,-1063
2019-06-26 15:34:49.057864,163.67,-78.50,-8.15,-4128,465,-1067
2019-06-26 15:34:49.077869,163.57,-78.49,-8.18,-4129,455,-1060
2019-06-26 15:34:49.097873,163.41,-78.48,-8.21,-4132,460,-1063
2019-06-26 15:34:49.118878,163.29,-78.47,-8.23,-4132,462,-1069
2019-06-26 15:34:49.138882,163.13,-78.45,-8.25,-4117,458,-1063
2019-06-26 15:34:49.158887,163.01,-78.44,-8.27,-4146,456,-1072
2019-06-26 15:34:49.179891,162.88,-78.44,-8.30,-4133,461,-1067
2019-06-26 15:34:49.199896,162.74,-78.43,-8.32,-4125,465,-1060
2019-06-26 15:34:49.216902,162.58,-78.42,-8.34,-4125,462,-1042
2019-06-26 15:34:49.237905,162.46,-78.41,-8.36,-4129,467,-1046
2019-06-26 15:34:49.257909,162.30,-78.41,-8.38,-4128,479,-1043
2019-06-26 15:34:49.278916,162.16,-78.40,-8.40,-4135,481,-1054
2019-06-26 15:34:49.298941,162.05,-78.39,-8.42,-4143,480,-1070
2019-06-26 15:34:49.318923,161.88,-78.38,-8.44,-4136,490,-1065
